spider,category,subcategory,subsubcategory
Amazon,Food,Our Brands,Introducing Cursive Wine
Amazon,Food,Our Brands,Dairy and cheese
Amazon,Food,Our Brands,Breakfast
Amazon,Food,Our Brands,Snacks
Amazon,Food,Our Brands,Breads and bakery
Amazon,Food,Our Brands,Produce
Amazon,Food,Our Brands,Meat and seafood
Amazon,Food,Our Brands,Pantry
Amazon,Food,Our Brands,Household supplies
Amazon,Food,Our Brands,Vitamins and supplements
Amazon,Food,Our Brands,Personal care
Amazon,Food,Our Brands,Healthcare
Amazon,Food,Our Brands,Baby products
Amazon,Food,Produce,Fresh packaged
Amazon,Food,Produce,Organic Produce
Amazon,Food,Produce,Fruits
Amazon,Food,Produce,Vegetables
Amazon,Food,Produce,Packaged Produce
Amazon,Food,Produce,Fresh Herbs
Amazon,Food,Produce,Nuts & Seeds
Amazon,Food,Produce,Dried Fruits & Vegetables
Amazon,Food,Produce,Berries
Amazon,Food,Produce,Citrus Fruits
Amazon,Food,Produce,Onions
Amazon,Food,Produce,Grapes
Amazon,Food,Produce,Leafy Greens & Cabbage
Amazon,Food,Produce,Vegetarian Proteins
Amazon,Food,Meat & Seafood,Coupons on meat and seafood
Amazon,Food,Meat & Seafood,Hearty breakfast hash
Amazon,Food,Meat & Seafood,Beef
Amazon,Food,Meat & Seafood,Chicken
Amazon,Food,Meat & Seafood,Seafood
Amazon,Food,Meat & Seafood,Pork
Amazon,Food,Meat & Seafood,Bacon
Amazon,Food,Meat & Seafood,Frozen Meats
Amazon,Food,"Dairy, Cheese & Eggs","Coupons on dairy, cheese, and eggs"
Amazon,Food,"Dairy, Cheese & Eggs",On-the-go snacks
Amazon,Food,"Dairy, Cheese & Eggs",Make a cheesecake with Philadelphia
Amazon,Food,"Dairy, Cheese & Eggs",Top off your favorite desserts
Amazon,Food,"Dairy, Cheese & Eggs",Indulge in cheesy goodness
Amazon,Food,"Dairy, Cheese & Eggs",Cheese
Amazon,Food,"Dairy, Cheese & Eggs",Yogurt
Amazon,Food,"Dairy, Cheese & Eggs",Milk & Cream
Amazon,Food,"Dairy, Cheese & Eggs",Eggs & Egg Substitutes
Amazon,Food,"Dairy, Cheese & Eggs",Butter & Margarine
Amazon,Food,"Dairy, Cheese & Eggs",Non-Dairy
Amazon,Food,Deli & Prep. Foods,Coupons on deli and prepared foods
Amazon,Food,Deli & Prep. Foods,Charcuterie snacks
Amazon,Food,Deli & Prep. Foods,Amazon Kitchen makes meal planning easy
Amazon,Food,Deli & Prep. Foods,Deli Meats & Cheeses
Amazon,Food,Deli & Prep. Foods,Box Lunches
Amazon,Food,Deli & Prep. Foods,Deli Salads
Amazon,Food,Deli & Prep. Foods,Entrees
Amazon,Food,Deli & Prep. Foods,"Soups, Stews & Chili"
Amazon,Food,Deli & Prep. Foods,"Dips, Salsas & Spreads"
Amazon,Food,Deli & Prep. Foods,Side Dishes
Amazon,Food,Deli & Prep. Foods,Fresh Pasta & Sauces
Amazon,Food,Deli & Prep. Foods,Fresh Meal Kits
Amazon,Food,Deli & Prep. Foods,Olives & Antipasto
Amazon,Food,Breads & Bakery,Everything for the perfect sandwich
Amazon,Food,Breads & Bakery,Make your perfect sandwich
Amazon,Food,Breads & Bakery,Indulge in sweetness
Amazon,Food,Breads & Bakery,Whole grain options
Amazon,Food,Breads & Bakery,Breads
Amazon,Food,Breads & Bakery,Bagels
Amazon,Food,Breads & Bakery,Rolls & Buns
Amazon,Food,Breads & Bakery,English Muffins
Amazon,Food,Breads & Bakery,Muffins
Amazon,Food,Breads & Bakery,Flatbreads & Tortillas
Amazon,Food,Breads & Bakery,Cakes
Amazon,Food,Breads & Bakery,Bakery Desserts
Amazon,Food,Breads & Bakery,Refrigerated Doughs
Amazon,Food,Breads & Bakery,Pastries
Amazon,Food,Breads & Bakery,Waffles
Amazon,Food,Breads & Bakery,Fresh Bakery Breadsticks
Amazon,Food,Breads & Bakery,Birthday gifting to pair with cake
Amazon,Food,Breads & Bakery,Butter and margarine
Amazon,Food,Frozen Foods,Frozen sweet treats
Amazon,Food,Frozen Foods,Frozen veggies
Amazon,Food,Frozen Foods,Delicious pot pies in minutes
Amazon,Food,Frozen Foods,Handheld ice cream treats
Amazon,Food,Frozen Foods,Ice Cream & Frozen Novelties
Amazon,Food,Frozen Foods,Frozen Appetizers & Snacks
Amazon,Food,Frozen Foods,Frozen Vegetables
Amazon,Food,Frozen Foods,Frozen Fruit
Amazon,Food,Frozen Foods,Frozen Breakfast Foods
Amazon,Food,Frozen Foods,Frozen Pizzas
Amazon,Food,Frozen Foods,Frozen Meals & Entrees
Amazon,Food,Frozen Foods,Frozen Meats
Amazon,Food,Frozen Foods,Frozen Seafood
Amazon,Food,Frozen Foods,Frozen Desserts & Toppings
Amazon,Food,Frozen Foods,Frozen Potatoes & Onion Rings
Amazon,Food,Frozen Foods,Frozen Juices
Amazon,Food,Pantry Staples,Coupons on pantry staples
